,video_id,comments
0,z9bJUPxzFOw,"['Bhaiya could you tell beforehand if you going upload any chapter(specsilly graph and dp)  playlist which is already available in older playlist , so that instead of the older playlist I could wait a few more days for the newer playlist , like are you going to upload new playlist of graphs and dp , else i will continue with the older one only.', 'I respect you a lot striver literally but please take this suggestion into consideration, dont make videos for the topics you already made earlier\n\nWe are eagerly waiting for strings series and recursion series', 'Thanks for the video. Which software is used for recording the video?', 'Hello sir!! Please upload the heaps playlist asap', 'Bhaiya, would love to learn Binary Trees next, pls❤\nAnd the stack playlist was amazing as always😍', 'thanks striver', 'mojj krdi bhaiya', 'The editor forgot something to clip', 'Sir can you please add the solutions in python too\nI have to visit the third party website to read the code.\nVery grateful to you for the series.', 'legend is here']"
1,cEadsbTeze4,"['easy problem only thing to evaluate that there will be either o or 1 celebrity', '1:34 , Yes you are 😂😂😂', 'I have a doubt \n\nwhy is this a stack problem ?', 'thanks  sir', 'Yes, you are the celebrity Sir', 'Considering all the efforts and contributions you are the real celebrity vaiya. Thanks for everything.', 'waiting for this stack and queue playlist its finally here , many thanks to @takeuforward for the amazing content', ""Hi Striver,\r\n\r\nI just wanted to thank you for your incredible DSA tutorials. Your clear explanations and thorough examples have made a huge difference in my understanding and proficiency. Thanks to your videos, I've become very proficient in DSA, which has significantly boosted my confidence and performance in my coding\r\n\r\nKeep up the great work, you're making a big difference! Thank you very much\U0001f979\U0001f979\U0001f979"", 'Thank you.']"
2,NwBvene4Imo,"['Good post, slow down the releases and you’ll get more views. Nobody can handle viewing and reviewing and learning 3-4 leetcode problems a day. Maybe a speed of one every few days is better', 'Bhya ❤👍👍', 'first']"
3,eay-zoSRkVc,"[""What a timing. I was solving this problem from SDE sheet and at first got disappointed as there was no link to this problem. I'm glad that I decided to checkout the channel. Unbeatable explanation like always. Thanks."", 'First view and comment', 'Arre love you bhaiya ❤ i have done arrays, linked list, binary search, recursion ….. and was looking for stack n queue. \nWhat a timing bhaiya ji \U0001f979 mauj kara di', ""I'm waiting this for years ...thanks striver @takeUforward.... yesterday u said and u delivered"", 'Please pin me \n for 2 days❤', '1st comment']"
4,jmbuRzYPGrg,"['So many edge cases.........Uffffff', '', 'Great sir, I just started downloading and you just uploading these videos which Faster than BSNL']"
5,ttVu6G7Ayik,"['Thanks a lot', '00:04 Maximal Rectangle problem\n01:39 Concept of largest rectangle in histogram\n03:09 Understanding maximal rectangle in histograms through example\n04:40 Optimizing complexity using prefix sum concept\n06:04 Understanding and visualizing histogram bar heights\n07:33 Prefix sum computation for histogram bar preparation\n08:59 Compute maximal rectangle area using stack and queue\n10:34 Time complexity analysis for computing maximal rectangle area.', '❤']"
6,Bzat9vgD0fs,"['optimal to bahut tagda tha', 'Thanks a lot', 'Spelling mistake hai thumbnail me', '', 'Thank you bhaiya ❤']"
7,_eYGqw_VDR4,"['I have doubt with input\n-2 -1 1 2, what would be the output\nin leetcode expected output is the same as input', '00:04 Solving the problem of asteroid collisions in the given array.\n02:20 Illustrates asteroid collisions and elimination process.\n04:29 Using stack data structure to track element traversal\n06:35 Asteroid collisions simulation using stack data structure\n08:42 Using stack or list in asteroid collisions\n10:47 Demonstration of asteroid collisions in a stack\n12:59 Handling asteroid collisions using stack and queue\n15:29 Explaining time and space complexity', '😊']"
8,gIrMptNPf5M,"['sir its giving wrong answer on leetcode can anyone please tell how to correct this\nclass Solution {\r\npublic:\r\n    vector<int> findNextSmallerElement(vector<int> &arr) {\r\n        int n = arr.size();\r\n        vector<int> nse(n);  \r\n        stack<int> st;       \r\n\r\n        for (int i = n - 1; i >= 0; i--) {\r\n            while (!st.empty() && arr[st.top()] >= arr[i]) {\r\n                st.pop();\r\n            }\r\n            nse[i] = st.empty() ? n : st.top();\r\n            st.push(i);\r\n        }\r\n        return nse;\r\n    }\r\n\r\n    vector<int> findPreviousSmallerElement(vector<int> &arr) {\r\n        int n = arr.size();\r\n        vector<int> psee(n);  \r\n        stack<int> st;       \r\n\r\n        for (int i = 0; i < n; i++) {\r\n            while (!st.empty() && arr[st.top()] > arr[i]) {\r\n                st.pop();\r\n            }\r\n            psee[i] = st.empty() ? -1 : st.top();\r\n            st.push(i);\r\n        }\r\n        return psee;\r\n    }\r\n\r\n    vector<int> findNextGreaterElement(vector<int> &arr) {\r\n        int n = arr.size();\r\n        vector<int> nge(n);  \r\n        stack<int> st;       \r\n\r\n        for (int i = n - 1; i >= 0; i--) {\r\n            while (!st.empty() && arr[st.top()] <= arr[i]) {\r\n                st.pop();\r\n            }\r\n            nge[i] = st.empty() ? n : st.top();\r\n            st.push(i);\r\n        }\r\n        return nge;\r\n    }\r\n\r\n    vector<int> findPreviousGreaterElement(vector<int> &arr) {\r\n        int n = arr.size();\r\n        vector<int> pge(n);  \r\n        stack<int> st;       \r\n\r\n        for (int i = 0; i < n; i++) {\r\n            while (!st.empty() && arr[st.top()] <= arr[i]) {\r\n                st.pop();\r\n            }\r\n            pge[i] = st.empty() ? -1 : st.top();\r\n            st.push(i);\r\n        }\r\n        return pge;\r\n    }\r\n\r\n    long long sumSubarrayMins(vector<int>& arr) {\r\n        int n = arr.size();\r\n        vector<int> nse = findNextSmallerElement(arr);\r\n        vector<int> psee = findPreviousSmallerElement(arr);\r\n        long long total = 0;  \r\n\r\n        for (int i = 0; i < n; i++) {\r\n            long long left = i - psee[i];\r\n            long long right = nse[i] - i;\r\n            total += left * right * arr[i];\r\n        }\r\n        return total;\r\n    }\r\n\r\n    long long sumSubarrayMax(vector<int>& arr) {\r\n        int n = arr.size();\r\n        vector<int> nge = findNextGreaterElement(arr);\r\n        vector<int> pge = findPreviousGreaterElement(arr);\r\n        long long total = 0;  \r\n\r\n        for (int i = 0; i < n; i++) {\r\n            long long left = i - pge[i];\r\n            long long right = nge[i] - i;\r\n            total += left * right * arr[i];\r\n        }\r\n        return total;\r\n    }\r\n\r\n    long long subArrayRanges(vector<int>& nums) {\r\n        return sumSubarrayMax(nums) - sumSubarrayMins(nums);\r\n    }\r\n};', 'Started my new journey with uploading python problems on youtube , look for it \nthank you', 'Thank you sir', 'Love ur Contact😍😍😍😍']"
9,v0e8p9JCgRc,"['Thankuuuuuu', 'Man, thnxs a lot. I was waiting eagerly for your Stack & Queues playlist. Thnxs a lot man.', 'Can anyone explain how those subarrays count =4*3=12?', 'waiting for tuf+', 'Pdh hi rha tha playlis se k new video aagya so ya First comment😂😂😂', 'First To comment, Thanks bro for the great content 👏', '🔥🔥🔥🔥', 'First comment bhaiya', 'Thanks Striver Bhaiya ❣️']"
