,channel_title,Title,Description,Published_date,Views,Likes,Comments,Month
0,take U forward,L18. Implement LRU Cache,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,4221,117,31,Jul
1,take U forward,L17. The Celebrity Problem | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,1514,66,12,Jul
2,take U forward,L16. Sliding Window Maximum | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,987,43,3,Jul
3,take U forward,L15. Stock Span Problem | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,1063,42,6,Jul
4,take U forward,L14. Remove K Digits | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,990,40,3,Jul
5,take U forward,L13. Maximal Rectangle | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,734,45,3,Jul
6,take U forward,L12. Largest Rectangle in Histogram | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,922,42,5,Jul
7,take U forward,L11. Aestroid Collisions | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,862,46,4,Jul
8,take U forward,L10. Sum of subarray ranges | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,934,56,4,Jul
9,take U forward,L9. Sum of Subarray Minimum | Stack and Queue Playlist,"Find problem link, notes under Step 9: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/

Follow me on socials: https://linktr.ee/takeUforward",2024-07-16,1510,87,11,Jul
